filename,decoder,samplerate (kHz),samplewidth (bit),n channels,n samples
/root/sim/music//301~400/359_アイドルです！.mp3,ffmpeg,44100,16,2,6177024
/root/sim/music//301~400/326_イカタコメーター.mp3,ffmpeg,44100,16,2,3073593
/root/sim/music//301~400/301_oriental.mp3,ffmpeg,44100,16,2,1332800
/root/sim/music//301~400/365_天の庭.mp3,ffmpeg,44100,16,2,9003750
/root/sim/music//301~400/332_キミとの季節.mp3,ffmpeg,44100,16,2,4942080
/root/sim/music//301~400/306_Run_through_time.mp3,ffmpeg,44100,16,2,4985856
/root/sim/music//301~400/349_いちごハムパン.mp3,ffmpeg,44100,16,2,3765888
/root/sim/music//301~400/361_レシュノルティア.mp3,ffmpeg,44100,16,2,5849777
/root/sim/music//301~400/347_Nagatsuki_Beat.mp3,ffmpeg,44100,16,2,8702400
/root/sim/music//301~400/379_揺らぐ木立.mp3,ffmpeg,44100,16,2,5647104
/root/sim/music//301~400/325_In_The_Changing_Season.mp3,ffmpeg,44100,16,2,5140800
/root/sim/music//301~400/341_スーパーにて.mp3,ffmpeg,44100,16,2,2824704
/root/sim/music//301~400/372_Take_Your_Time.mp3,ffmpeg,44100,16,2,4939200
